date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2013-08-15,122.171295,67.896896,25.992662,33.720566,80.003706,75.216904,18.856419,16.895218,13.426000,,71.711621,33.227844,55.025661
2013-08-16,121.818451,67.869904,26.040297,33.513214,80.003706,74.925156,18.761101,16.939412,13.518000,,71.711621,33.200558,54.881603
2013-08-19,121.048706,67.753036,25.856581,32.891136,79.986228,74.603386,18.655190,16.867088,13.453000,,71.695954,32.907158,54.723755
2013-08-20,121.529816,68.049744,25.815756,32.883987,80.003706,75.007393,18.764635,16.899235,13.506000,,71.711621,32.845776,54.881603
2013-08-21,120.904327,67.815956,25.509560,32.111759,80.003706,74.536102,18.658714,16.859055,13.469000,,71.711621,32.374981,54.668865
2013-08-22,121.962814,68.481400,25.774933,32.583679,79.986228,74.506088,18.655190,16.911288,13.537000,,71.695954,32.804821,54.723755
2013-08-23,122.363731,68.939934,25.999472,32.934040,80.003706,74.925156,18.757570,16.883161,13.753000,,71.711621,33.002701,54.881603
2013-08-26,121.978867,68.975914,25.829365,32.633724,79.986228,75.074776,18.838781,16.746554,13.815000,,71.695954,32.804821,54.977638
2013-08-27,119.974174,67.564178,25.393883,31.882948,79.986228,75.501274,18.937628,16.790751,13.943000,,71.695954,32.231693,55.114849
2013-08-28,120.375107,67.824982,25.366665,31.947304,79.986228,75.194481,18.881149,16.851022,13.941000,,71.695954,32.211216,55.018768
2013-08-29,120.567627,68.301529,25.366665,32.211868,80.003706,75.269279,18.874081,16.838963,13.859000,,71.711621,32.218056,55.073673
2013-08-30,120.038353,67.860939,25.074080,32.447826,80.003706,75.127121,18.785824,16.871111,13.726000,,71.711621,31.972414,54.998173
2013-09-03,120.744003,68.247589,25.543581,32.719524,80.003706,74.700752,18.715452,16.951466,13.904000,,71.711621,32.490971,54.875130
2013-09-04,121.754303,68.975914,25.774933,33.205750,80.003706,74.453461,18.634125,16.891196,13.725000,,71.711621,32.804821,54.806358
2013-09-05,121.722267,69.092796,25.768122,33.506065,80.003706,73.883995,18.471479,16.915307,13.473000,,71.711621,32.866226,54.428207
2013-09-06,121.930779,69.173729,25.917814,33.970833,80.003706,74.333549,18.556343,16.919323,13.677000,,71.711621,33.070915,54.634491
2013-09-09,123.133568,69.982986,26.285252,34.785954,79.968766,74.483421,18.588160,16.883161,13.654000,,71.680302,33.657700,54.771999
2013-09-10,124.063713,70.324699,26.571039,35.114872,79.986228,74.138771,18.563414,16.863071,13.428000,,71.695954,33.964722,54.655117
2013-09-11,124.448540,70.189766,26.645885,35.086269,79.986228,74.513420,18.669481,16.855038,13.424000,,71.695954,34.046616,54.806358
2013-09-12,124.143906,70.144859,26.516602,34.728756,79.986228,74.520927,18.644733,16.863071,13.014000,,71.695954,33.814640,54.792629
2013-09-13,124.400482,70.189766,26.611872,34.921806,80.003706,74.618332,18.665943,16.847000,13.027000,,71.711621,33.964722,54.882004
2013-09-16,125.154221,70.000992,26.850016,35.257874,79.986228,74.783241,18.718990,16.742534,12.890000,,71.695954,34.278584,54.950771
2013-09-17,125.667404,70.468529,26.863628,35.250721,79.986228,74.933044,18.800316,16.690305,12.900000,,71.695954,34.278584,54.998886
2013-09-18,127.174881,71.313736,27.571295,36.616421,80.003706,75.862175,19.030140,16.818876,13.457000,,71.711621,35.261105,55.438915
2013-09-19,126.966415,71.484642,27.448805,36.552071,80.003706,75.599976,18.991245,16.830928,13.443000,,71.711621,35.001831,55.377087
2013-09-20,125.972076,71.239296,27.224249,35.758385,79.986228,75.674850,19.044289,16.730483,13.051000,,71.695954,34.667496,55.370197
2013-09-23,125.509506,71.094994,27.240660,35.844185,79.986228,75.959656,19.111469,16.686285,12.998000,,71.695954,34.694912,55.411446
2013-09-24,125.235489,71.094994,27.185984,35.601082,79.986228,76.236855,19.093792,16.698340,13.022000,,71.695954,34.660645,55.528324
2013-09-25,124.832535,70.851486,27.199661,35.372276,79.986228,76.446693,19.122089,16.718430,13.127000,,71.695954,34.626377,55.645222
2013-09-26,125.332253,71.401649,27.302149,35.472385,79.986228,76.281830,19.111469,16.746554,13.024000,,71.695954,34.770290,55.562706
2013-09-27,124.800285,71.311440,27.247490,35.086269,79.986228,76.386742,19.093792,16.722444,13.158000,,71.695954,34.646935,55.576462
2013-09-30,124.107239,71.140091,27.042526,34.785954,79.986228,76.514145,19.115011,16.658164,13.072000,,71.695954,34.372768,55.610859
2013-10-01,125.058212,71.861588,27.199661,35.429478,80.003706,76.343788,19.108286,16.666197,12.698000,,71.711621,34.612663,55.543304
2013-10-02,124.897064,71.834534,27.172329,35.529575,80.003706,76.471367,19.143667,16.690305,12.955000,,71.711621,34.660645,55.605320
2013-10-03,123.784866,70.995773,27.001526,35.408028,80.003706,76.576385,19.150745,16.694321,12.961000,,71.711621,34.496151,55.632851
2013-10-04,124.687531,71.609100,27.076672,35.801285,80.003706,76.366272,19.115353,16.694321,12.894000,,71.711621,34.585247,55.570862
2013-10-07,123.623711,71.013832,26.803368,35.493828,80.003706,76.433823,19.147209,16.630033,13.015000,,71.711621,34.283676,55.612209
2013-10-08,122.189262,69.642960,26.625744,35.214981,80.003706,76.396294,19.090590,16.642088,12.984000,,71.711621,34.002663,55.591526
2013-10-09,122.189262,69.426529,26.714556,35.536739,79.986228,76.261223,19.090590,16.597896,12.856000,,71.695954,34.249393,55.557095
2013-10-10,124.945404,70.896591,27.213320,36.273212,79.968766,76.096130,19.076439,16.666197,12.672000,,71.680302,34.825142,55.570862
2013-10-11,125.686829,71.455742,27.363644,36.466267,79.951338,76.208710,19.069359,16.658164,12.496000,,71.664681,34.955368,55.591526
2013-10-14,126.234787,71.960815,27.445614,36.602112,79.951338,75.953499,19.002123,16.690305,12.525000,,71.664681,35.099285,55.481281
2013-10-15,125.299980,71.681229,27.302149,36.280350,79.951338,75.968529,19.009201,16.638072,12.611000,,71.664681,34.893688,55.467514
2013-10-16,127.008461,72.492905,27.534452,36.573517,79.968766,76.336334,19.058750,16.718430,12.599000,,71.680302,35.195267,55.701828
2013-10-17,127.878838,72.907753,27.869230,36.766582,79.968766,76.771553,19.157824,16.670212,12.990000,,71.680302,35.558521,55.894741
2013-10-18,128.733093,74.089233,28.033207,36.838066,79.986228,76.779083,19.186136,16.674234,12.937000,,71.695954,35.743587,55.956703
