date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2023-09-21,-1.638861,-1.832436,-1.662975,-1.750051,0.029821,-0.743726,-0.567949,0.63648,-0.648994,-2.080108,-0.573553,-1.655446,-0.623063
2023-09-22,-0.241289,0.013975,0.11274,1.068741,0.019915,0.390927,0.354556,-0.316216,0.326617,0.044925,-0.161135,0.388452,0.413218
2023-09-23,,,,,,,,,,-0.000669,,,
2023-09-24,,,,,,,,,,-1.213589,,,
2023-09-25,,,,,,,,,,0.158642,,,
2023-09-26,-1.467593,-1.501641,-1.424377,-1.41549,0.0,-0.032696,-0.257089,0.420194,-0.818775,-0.308879,-0.526776,-1.405338,-0.100095
2023-09-27,0.02291,0.23433,-0.229339,0.168912,0.029843,-0.446946,-0.138787,0.87167,-1.155757,0.516709,-0.006178,-0.037505,-0.357743
2023-09-28,0.583367,0.836523,0.827563,0.295111,0.029774,0.273747,0.476484,-0.103695,-0.556784,2.537993,0.283937,0.619135,0.258552
2023-09-29,-0.238784,0.072627,-0.319194,0.021027,0.029817,0.02183,-0.237079,0.0,-0.951848,-0.406439,0.078787,-0.205103,-0.043013
2023-09-30,,,,,,,,,,0.208814,,,
2023-10-01,,,,,,,,,,3.766824,,,
2023-10-02,,,,,,,,,,-1.618671,,,
2023-10-03,-1.344631,-1.754956,-1.254674,-1.267152,0.009918,-0.827716,-0.679171,0.552281,-0.342854,-0.36616,-0.494332,-1.230372,-0.8103
2023-10-04,0.735672,1.360865,0.047047,-0.32084,0.019971,0.634334,0.4626,-1.304491,0.0,1.34676,0.407812,-0.057474,0.656479
2023-10-05,-0.084558,-0.294654,0.917243,0.386255,0.059832,0.187986,-0.160154,-0.104345,-0.172022,-1.379463,0.033231,0.690296,0.072468
2023-10-06,1.192594,1.675548,1.048728,1.41086,0.009969,-0.585018,-0.360954,0.73119,0.516945,1.935684,0.452768,1.237878,-0.391051
2023-10-07,,,,,,,,,,0.079588,,,
2023-10-08,,,,,,,,,,-0.12067,,,
2023-10-09,,,,,,,,,,-1.257959,,,
2023-10-10,0.516137,0.553813,1.269341,1.441301,0.0,-0.197342,0.039859,0.139573,-0.112236,-0.69845,0.096571,1.357225,-0.100775
2023-10-11,0.42331,0.713517,0.432996,0.501451,0.019908,0.549211,0.478189,-0.69687,0.674162,-1.890033,0.090384,0.409162,0.461026
2023-10-12,-0.60111,-0.347507,-0.862278,-1.018698,0.049833,-0.961333,-0.694031,0.736834,-0.223219,-0.433595,0.081747,-0.963147,-0.860461
2023-10-13,-0.526942,-1.25701,-0.892642,-0.420089,0.0,0.639779,0.678908,-0.383127,3.131999,0.394577,-0.124357,-0.710693,0.462888
2023-10-14,,,,,,,,,,-0.002487,,,
2023-10-15,,,,,,,,,,1.109182,,,
2023-10-16,,,,,,,,,,5.006745,,,
2023-10-17,0.002494,-0.327547,0.022909,-0.230228,0.009948,-0.981301,-0.477316,1.249999,0.163392,-0.363677,0.024343,-0.074763,-0.65133
2023-10-18,-1.338066,-1.311783,-1.695294,-1.63624,0.019895,-0.467613,-0.199853,-0.44582,1.468192,-0.307598,-0.204461,-1.702531,-0.437087
2023-10-19,-0.847632,-0.935687,-0.815672,-0.469186,0.039825,-0.492227,-0.040042,0.31003,1.178989,1.381884,-0.242683,-0.685196,-0.438981
